iter	Passed	Remaining
762	4464	1386
763	4470	1380
764	4475	1374
765	4481	1368
766	4487	1363
767	4492	1357
768	4498	1351
769	4503	1345
770	4509	1339
771	4515	1333
772	4520	1327
773	4525	1321
774	4531	1315
775	4537	1309
776	4543	1303
777	4548	1297
778	4553	1291
779	4559	1285
780	4565	1280
781	4572	1274
782	4578	1268
783	4583	1262
784	4589	1256
785	4594	1251
786	4601	1245
787	4607	1239
788	4614	1234
789	4621	1228
790	4627	1222
791	4633	1216
792	4638	1210
793	4644	1205
794	4650	1199
795	4656	1193
796	4662	1187
797	4668	1181
798	4674	1175
799	4679	1169
800	4685	1164
801	4691	1158
802	4696	1152
803	4700	1145
804	4706	1139
805	4711	1134
806	4717	1128
807	4723	1122
808	4728	1116
809	4734	1110
810	4740	1104
811	4744	1098
812	4749	1092
813	4755	1086
814	4760	1080
815	4766	1074
816	4772	1068
817	4778	1063
818	4783	1057
819	4789	1051
820	4795	1045
821	4800	1039
822	4805	1033
823	4810	1027
824	4816	1021
825	4822	1015
826	4828	1009
827	4833	1004
828	4839	998
829	4844	992
830	4850	986
831	4856	980
832	4862	974
833	4867	968
834	4874	963
835	4879	957
836	4886	951
837	4893	946
838	4899	940
839	4906	934
840	4913	928
841	4919	923
842	4925	917
843	4932	911
844	4938	905
845	4943	899
846	4949	894
847	4954	888
848	4960	882
849	4966	876
850	4971	870
851	4977	864
852	4983	858
853	4988	852
854	4994	847
855	5000	841
856	5005	835
857	5012	829
858	5018	823
859	5025	818
860	5031	812
861	5037	806
862	5044	800
863	5050	794
864	5056	789
865	5062	783
866	5068	777
867	5074	771
868	5080	765
869	5087	760
870	5093	754
871	5099	748
872	5105	742
873	5112	736
874	5118	731
875	5123	725
876	5129	719
877	5135	713
878	5141	707
879	5147	701
880	5154	696
881	5159	690
882	5164	684
883	5170	678
884	5176	672
885	5182	666
886	5188	661
887	5194	655
888	5200	649
889	5206	643
890	5211	637
891	5217	631
892	5223	625
893	5228	619
894	5234	614
895	5239	608
896	5245	602
897	5251	596
898	5256	590
899	5262	584
900	5267	578
901	5272	572
902	5279	567
903	5284	561
904	5290	555
905	5295	549
906	5301	543
907	5306	537
908	5311	531
909	5317	525
910	5322	519
911	5327	514
912	5333	508
913	5339	502
914	5344	496
915	5349	490
916	5355	484
917	5360	478
918	5367	473
919	5372	467
920	5377	461
921	5381	455
922	5388	449
923	5392	443
924	5398	437
925	5403	431
926	5408	425
927	5414	420
928	5419	414
929	5423	408
930	5429	402
931	5435	396
932	5441	390
933	5447	384
934	5452	379
935	5458	373
936	5463	367
937	5468	361
938	5474	355
939	5480	349
940	5486	344
941	5493	338
942	5501	332
943	5507	326
944	5512	320
945	5517	314
946	5522	309
947	5527	303
948	5533	297
949	5538	291
950	5544	285
951	5549	279
952	5554	273
953	5560	268
954	5566	262
955	5572	256
956	5577	250
957	5582	244
958	5588	238
959	5593	233
960	5599	227
961	5604	221
962	5610	215
963	5615	209
964	5621	203
965	5626	198
966	5633	192
967	5638	186
968	5644	180
969	5650	174
970	5655	168
971	5661	163
972	5667	157
973	5672	151
974	5678	145
975	5684	139
976	5688	133
977	5694	128
978	5698	122
979	5704	116
980	5709	110
981	5714	104
982	5719	98
983	5723	93
984	5729	87
985	5734	81
986	5740	75
987	5746	69
988	5752	63
989	5758	58
990	5764	52
991	5768	46
992	5774	40
993	5780	34
994	5785	29
995	5790	23
996	5795	17
997	5800	11
998	5805	5
999	5811	0
